Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
09-07-2023,,,,,,,,,,
10-07-2023,,,,,,,,,,
11-07-2023,,,,,,,,,,
12-07-2023,22.1,33.4,,,0.8,,4,360,1,C 
13-07-2023,,,,,,,,,,
14-07-2023,,,,,,,,,,
15-07-2023,,,,,,,,,,
16-07-2023,22.4,33.2,27.2,82,8888,,4,340,1,C 
17-07-2023,23,33.5,27.3,76,,6.2,5,350,1,C 
18-07-2023,22,33.6,26.9,75,,3.8,5,100,1,C 
19-07-2023,20.9,34.3,26.7,75,,8,6,10,2,SW
20-07-2023,20.8,32.7,25.6,75,,9.2,4,290,1,C 
21-07-2023,21.4,33.7,26.8,74,,4,4,360,1,C 
22-07-2023,22.5,34,27.7,75,,3.8,5,350,1,C 
23-07-2023,22.6,33.9,27.2,76,,6,6,20,2,N 
24-07-2023,22.8,31.9,26.1,86,,5.2,6,350,1,C 
25-07-2023,22.6,32.2,26.8,81,8888,3.5,3,280,1,C 
26-07-2023,23.9,31.4,27.1,79,,1.6,2,50,1,SW
27-07-2023,23,32.3,26.9,79,,0,5,290,2,W 
28-07-2023,23.6,34,27.6,74,,1.1,5,50,1,C 
29-07-2023,22.6,33.1,27,76,,2,4,50,1,C 
30-07-2023,22.5,33.6,27.2,74,,2,6,20,2,NE
31-07-2023,21.3,33.5,26.5,74,,5,5,20,2,E 
01-08-2023,21.1,34.2,26.5,74,0,,7,50,3,C 
02-08-2023,23.4,33.4,26.3,83,0,,3,180,1,C 
03-08-2023,23.1,33.2,27.3,84,72,,5,10,2,S 
04-08-2023,22.5,33.9,27.8,79,6.7,,4,340,1,N 
05-08-2023,23.3,34.1,,,0,,5,50,1,C 
06-08-2023,22.8,33.4,27.2,75,0,,4,30,2,SW
07-08-2023,22.1,33.8,,,0,,3,240,2,N 
08-08-2023,22.9,33.6,,,0,,3,50,2,SW
09-08-2023,23,33.8,,,0,,5,10,2,NE
10-08-2023,23,34,,,0,,5,40,1,W 
11-08-2023,22.9,33.1,,,0,,2,40,1,E 
12-08-2023,21.4,33.2,26.4,74,0,,3,20,1,C 
13-08-2023,21,33.7,26,76,0,,5,40,1,C 
14-08-2023,21,33.5,26.3,74,0,,4,40,1,SW
15-08-2023,21.5,33,26.6,77,0,,4,20,2,N 
16-08-2023,,,,,,,,,,
17-08-2023,,,,,,,,,,
18-08-2023,,,,,,,,,,
19-08-2023,21.6,33.5,27,76,,7.7,5,40,2,N 
20-08-2023,,,,,,,,,,
21-08-2023,22.8,33.9,27.4,74,,6.3,6,10,2,C 
22-08-2023,21.7,32.8,26.6,75,,5.3,6,40,1,C 
23-08-2023,,,,,,,,,,
24-08-2023,22.2,34.1,27.4,77,,4.2,4,30,2,C 
25-08-2023,22.8,34.1,27.4,78,,8.3,4,350,1,C 
26-08-2023,23.3,32.6,28.1,78,0,7,4,340,2,N 
27-08-2023,22.4,34.4,27.2,77,,1.6,7,360,2,C 
28-08-2023,22.2,32.8,26.4,78,,5,3,340,1,N 
29-08-2023,21.3,33.6,26.7,76,8888,1,4,20,1,C 
30-08-2023,21.5,34,27,71,,4,5,60,2,C 
31-08-2023,21.2,34.4,27,72,,3.5,5,310,2,SW
01-09-2023,20.2,34.1,26.7,74,0,,6,30,2,W 
02-09-2023,24.2,34.4,28.6,75,,5.2,5,360,2,N 
03-09-2023,24.8,34.8,28.8,66,,5.7,5,10,2,C 
04-09-2023,23.4,34.6,28.1,64,,6.7,5,30,3,NE
05-09-2023,23,34.7,28.4,64,,7.7,5,10,2,E 
06-09-2023,23.2,35.4,28.4,69,,9.4,4,30,2,NE
07-09-2023,24.8,34.8,28.9,71,,9,5,40,2,C 
08-09-2023,25.4,35.4,29.3,73,,9,6,50,3,NE
09-09-2023,25,34.9,29.1,71,,7,5,20,2,N 
10-09-2023,24,34.2,28.3,74,,6.7,5,20,2,N 
11-09-2023,24.4,34.4,28.8,74,,7.1,4,20,2,NE
12-09-2023,24.4,36.2,29.4,74,,7,7,40,3,NE
13-09-2023,25.2,34.4,29.4,77,,9.7,5,30,3,NE
14-09-2023,24.4,34.4,29,74,,7.5,4,40,2,S 
15-09-2023,24.6,34.9,28.9,76,,6.3,5,90,2,NE
